Pinned npm dependency record

package	version	license	integrity	tarball
@esbuild/aix-ppc64	0.25.9	MIT	sha512-OaGtL73Jck6pBKjNIe24BnFE6agGl+6KxDtTfHhy1HmhthfKouEcOhqpSL64K4/0WCtbKFLOdzD/44cJ4k9opA==	https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.25.9.tgz
@esbuild/android-arm	0.25.9	MIT	sha512-5WNI1DaMtxQ7t7B6xa572XMXpHAaI/9Hnhk8lcxF4zVN4xstUgTlvuGDorBguKEnZO70qwEcLpfifMLoxiPqHQ==	https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.25.9.tgz
@esbuild/android-arm64	0.25.9	MIT	sha512-IDrddSmpSv51ftWslJMvl3Q2ZT98fUSL2/rlUXuVqRXHCs5EUF1/f+jbjF5+NG9UffUDMCiTyh8iec7u8RlTLg==	https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.25.9.tgz
@esbuild/android-x64	0.25.9	MIT	sha512-I853iMZ1hWZdNllhVZKm34f4wErd4lMyeV7BLzEExGEIZYsOzqDWDf+y082izYUE8gtJnYHdeDpN/6tUdwvfiw==	https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.25.9.tgz
@esbuild/darwin-arm64	0.25.9	MIT	sha512-XIpIDMAjOELi/9PB30vEbVMs3GV1v2zkkPnuyRRURbhqjyzIINwj+nbQATh4H9GxUgH1kFsEyQMxwiLFKUS6Rg==	https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.25.9.tgz
@esbuild/darwin-x64	0.25.9	MIT	sha512-jhHfBzjYTA1IQu8VyrjCX4ApJDnH+ez+IYVEoJHeqJm9VhG9Dh2BYaJritkYK3vMaXrf7Ogr/0MQ8/MeIefsPQ==	https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.25.9.tgz
@esbuild/freebsd-arm64	0.25.9	MIT	sha512-z93DmbnY6fX9+KdD4Ue/H6sYs+bhFQJNCPZsi4XWJoYblUqT06MQUdBCpcSfuiN72AbqeBFu5LVQTjfXDE2A6Q==	https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.25.9.tgz
@esbuild/freebsd-x64	0.25.9	MIT	sha512-mrKX6H/vOyo5v71YfXWJxLVxgy1kyt1MQaD8wZJgJfG4gq4DpQGpgTB74e5yBeQdyMTbgxp0YtNj7NuHN0PoZg==	https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.25.9.tgz
@esbuild/linux-arm	0.25.9	MIT	sha512-HBU2Xv78SMgaydBmdor38lg8YDnFKSARg1Q6AT0/y2ezUAKiZvc211RDFHlEZRFNRVhcMamiToo7bDx3VEOYQw==	https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.25.9.tgz
@esbuild/linux-arm64	0.25.9	MIT	sha512-BlB7bIcLT3G26urh5Dmse7fiLmLXnRlopw4s8DalgZ8ef79Jj4aUcYbk90g8iCa2467HX8SAIidbL7gsqXHdRw==	https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.25.9.tgz
@esbuild/linux-ia32	0.25.9	MIT	sha512-e7S3MOJPZGp2QW6AK6+Ly81rC7oOSerQ+P8L0ta4FhVi+/j/v2yZzx5CqqDaWjtPFfYz21Vi1S0auHrap3Ma3A==	https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.25.9.tgz
@esbuild/linux-loong64	0.25.9	MIT	sha512-Sbe10Bnn0oUAB2AalYztvGcK+o6YFFA/9829PhOCUS9vkJElXGdphz0A3DbMdP8gmKkqPmPcMJmJOrI3VYB1JQ==	https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.25.9.tgz
@esbuild/linux-mips64el	0.25.9	MIT	sha512-YcM5br0mVyZw2jcQeLIkhWtKPeVfAerES5PvOzaDxVtIyZ2NUBZKNLjC5z3/fUlDgT6w89VsxP2qzNipOaaDyA==	https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.25.9.tgz
@esbuild/linux-ppc64	0.25.9	MIT	sha512-++0HQvasdo20JytyDpFvQtNrEsAgNG2CY1CLMwGXfFTKGBGQT3bOeLSYE2l1fYdvML5KUuwn9Z8L1EWe2tzs1w==	https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.25.9.tgz
@esbuild/linux-riscv64	0.25.9	MIT	sha512-uNIBa279Y3fkjV+2cUjx36xkx7eSjb8IvnL01eXUKXez/CBHNRw5ekCGMPM0BcmqBxBcdgUWuUXmVWwm4CH9kg==	https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.25.9.tgz
